Launch Id,Launch Status,Launch Suborbital,Rocket Name,Rocket Organisation,Rocket Price,Rocket Payload to LEO,Location,Launch Year,Launch Year Mon,USD/kg to LEO,2021 Mult,USD/kg to LEO CPI Adjusted,Rocket Price CPI Adjusted,Dum
33,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-05,27192.98246,1.129008737,30701.11478,69.99854171,1
34,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-06,27192.98246,1.129008737,30701.11478,69.99854171,1
35,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-07,27192.98246,1.129008737,30701.11478,69.99854171,1
37,Prelaunch Failure,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-09,27192.98246,1.129008737,30701.11478,69.99854171,1
36,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2016,2016-08,27192.98246,1.129008737,30701.11478,69.99854171,1
38,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2017,2017-01,27192.98246,1.105458551,30060.71498,68.53843016,1
39,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-02,27192.98246,1.105458551,30060.71498,68.53843016,1
41,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-03,27192.98246,1.105458551,30060.71498,68.53843016,1
40,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-03,27192.98246,1.105458551,30060.71498,68.53843016,1
43,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-05,27192.98246,1.105458551,30060.71498,68.53843016,1
44,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-06,27192.98246,1.105458551,30060.71498,68.53843016,1
42,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-05,27192.98246,1.105458551,30060.71498,68.53843016,1
45,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-06,27192.98246,1.105458551,30060.71498,68.53843016,1
46,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2017,2017-06,27192.98246,1.105458551,30060.71498,68.53843016,1
47,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-07,27192.98246,1.105458551,30060.71498,68.53843016,1
48,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-08,27192.98246,1.105458551,30060.71498,68.53843016,1
50,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-09,27192.98246,1.105458551,30060.71498,68.53843016,1
49,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2017,2017-08,27192.98246,1.105458551,30060.71498,68.53843016,1
52,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-10,27192.98246,1.105458551,30060.71498,68.53843016,1
51,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2017,2017-10,27192.98246,1.105458551,30060.71498,68.53843016,1
53,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"LC-39A, Kennedy Space Center, Florida, USA",2017,2017-10,27192.98246,1.105458551,30060.71498,68.53843016,1
54,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2017,2017-12,27192.98246,1.105458551,30060.71498,68.53843016,1
56,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-01,27192.98246,1.079101738,29343.99462,66.90430773,1
55,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2017,2017-12,27192.98246,1.105458551,30060.71498,68.53843016,1
57,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-01,27192.98246,1.079101738,29343.99462,66.90430773,1
58,Success,Orbital,Falcon 9 Block 3 (v1.2/FT),SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2018,2018-02,27192.98246,1.079101738,29343.99462,66.90430773,1
59,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-03,27192.98246,1.079101738,29343.99462,66.90430773,1
60,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-4E, Vandenberg SFB, California, USA",2018,2018-03,27192.98246,1.079101738,29343.99462,66.90430773,1
62,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"LC-39A, Kennedy Space Center, Florida, USA",2018,2018-05,21929.82456,1.079101738,23664.51179,53.95508688,1
61,Success,Orbital,Falcon 9 Block 4,SpaceX,62,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-04,27192.98246,1.079101738,29343.99462,66.90430773,1
63,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-07,21929.82456,1.079101738,23664.51179,53.95508688,1
64,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-4E, Vandenberg SFB, California, USA",2018,2018-07,21929.82456,1.079101738,23664.51179,53.95508688,1
65,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-09,21929.82456,1.079101738,23664.51179,53.95508688,1
66,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-08,21929.82456,1.079101738,23664.51179,53.95508688,1
67,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"LC-39A, Kennedy Space Center, Florida, USA",2018,2018-11,21929.82456,1.079101738,23664.51179,53.95508688,1
68,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"LC-39A, Kennedy Space Center, Florida, USA",2019,2019-03,21929.82456,1.059896658,23243.34777,52.99483292,1
69,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-4E, Vandenberg SFB, California, USA",2019,2019-01,21929.82456,1.059896658,23243.34777,52.99483292,1
71,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-12,21929.82456,1.079101738,23664.51179,53.95508688,1
70,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-4E, Vandenberg SFB, California, USA",2018,2018-12,21929.82456,1.079101738,23664.51179,53.95508688,1
73,Success,Orbital,Falcon Heavy,SpaceX,90,63800,"LC-39A, Kennedy Space Center, Florida, USA",2019,2019-06,14106.58307,1.059896658,14951.52026,95.39069926,1
72,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-4E, Vandenberg SFB, California, USA",2019,2019-06,21929.82456,1.059896658,23243.34777,52.99483292,1
74,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2018,2018-12,21929.82456,1.079101738,23664.51179,53.95508688,1
75,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-4E, Vandenberg SFB, California, USA",2018,2018-10,21929.82456,1.079101738,23664.51179,53.95508688,1
77,Failure,Orbital,Falcon 1,SpaceX,7,470,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands",2006,2006-03,148936.1702,1.344097222,200184.6927,9.408680556,1
79,Failure,Orbital,Falcon 1,SpaceX,7,470,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands",2008,2008-08,148936.1702,1.258551901,187443.9002,8.809863309,1
78,Failure,Orbital,Falcon 1,SpaceX,7,470,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands",2007,2007-03,148936.1702,1.306874632,194640.9027,9.148122426,1
80,Success,Orbital,Falcon 1,SpaceX,7,470,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands",2008,2008-09,148936.1702,1.258551901,187443.9002,8.809863309,1
81,Success,Orbital,Falcon 1,SpaceX,7,470,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands",2009,2009-07,148936.1702,1.263045535,188113.1648,8.841318747,1
82,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"LC-39A, Kennedy Space Center, Florida, USA",2020,2020-05,21929.82456,1.046980229,22960.09274,52.34901144,1
83,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2019,2019-05,21929.82456,1.059896658,23243.34777,52.99483292,1
84,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,2020-06,21929.82456,1.046980229,22960.09274,52.34901144,1
85,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2019,2019-08,21929.82456,1.059896658,23243.34777,52.99483292,1
86,Success,Orbital,Falcon Heavy,SpaceX,90,63800,"LC-39A, Kennedy Space Center, Florida, USA",2019,2019-04,14106.58307,1.059896658,14951.52026,95.39069926,1
89,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2019,2019-07,21929.82456,1.059896658,23243.34777,52.99483292,1
90,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,2020-08,21929.82456,1.046980229,22960.09274,52.34901144,1
92,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2019,2019-12,21929.82456,1.059896658,23243.34777,52.99483292,1
93,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,2020-12,21929.82456,1.046980229,22960.09274,52.34901144,1
94,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,2021-06,21929.82456,1,21929.82456,50,1
95,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2019,2019-12,21929.82456,1.059896658,23243.34777,52.99483292,1
96,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,2021-06,21929.82456,1,21929.82456,50,1
98,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,2020-03,21929.82456,1.046980229,22960.09274,52.34901144,1
99,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,2021-01,21929.82456,1,21929.82456,50,1
100,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-4E, Vandenberg SFB, California, USA",2020,2020-11,21929.82456,1.046980229,22960.09274,52.34901144,1
101,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2020,2020-11,21929.82456,1.046980229,22960.09274,52.34901144,1
104,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"SLC-40, Cape Canaveral SFS, Florida, USA",2021,2021-12,21929.82456,1,21929.82456,50,1
109,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"LC-39A, Kennedy Space Center, Florida, USA",2021,2021-06,21929.82456,1,21929.82456,50,1
108,Success,Orbital,Falcon 9 Block 5,SpaceX,50,22800,"LC-39A, Kennedy Space Center, Florida, USA",2020,2020-12,21929.82456,1.046980229,22960.09274,52.34901144,1
111,Failure,Orbital,Electron,Rocket Lab,7.5,300,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2017,2017-05,250000,1.105458551,276364.6377,8.290939132,1
112,Success,Orbital,Electron/Curie,Rocket Lab,7.5,300,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2018,2018-01,250000,1.079101738,269775.4344,8.093263031,1
113,Success,Orbital,Electron/Curie,Rocket Lab,7.5,300,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2018,2018-11,250000,1.079101738,269775.4344,8.093263031,1
114,Success,Orbital,Electron/Curie,Rocket Lab,7.5,300,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2018,2018-12,250000,1.079101738,269775.4344,8.093263031,1
119,Success,Orbital,Electron/Curie,Rocket Lab,7.5,300,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019,2019-08,250000,1.059896658,264974.1646,7.949224938,1
127,Partial Failure,Orbital,Delta IV Heavy,Boeing,350,28370,"SLC-37B, Cape Canaveral SFS, Florida, USA",2004,2004-12,123369.7568,1.434462679,176969.3118,502.0619375,1
129,Success,Orbital,Delta IV Heavy,ULA,350,28370,"SLC-37B, Cape Canaveral SFS, Florida, USA",2009,2009-01,123369.7568,1.263045535,155821.6205,442.0659373,1
128,Success,Orbital,Delta IV Heavy,ULA,350,28370,"SLC-37B, Cape Canaveral SFS, Florida, USA",2007,2007-11,123369.7568,1.306874632,161228.8055,457.4061213,1
130,Success,Orbital,"Delta IV Medium+ (4,2)",ULA,164,10440,"SLC-37B, Cape Canaveral SFS, Florida, USA",2009,2009-06,157088.1226,1.263045535,198409.4519,207.1394678,1
131,Success,Orbital,Delta IV Heavy,ULA,350,28370,"SLC-37B, Cape Canaveral SFS, Florida, USA",2010,2010-11,123369.7568,1.242662435,153306.9624,434.9318524,1
133,Success,Orbital,Delta IV Heavy,ULA,350,28370,"SLC-37B, Cape Canaveral SFS, Florida, USA",2012,2012-06,123369.7568,1.180213769,145602.6856,413.074819,1
132,Success,Orbital,Delta IV Heavy,ULA,350,28370,"SLC-6, Vandenberg SFB, California, USA",2011,2011-01,123369.7568,1.204637702,148615.8603,421.6231956,1
134,Success,Orbital,Delta IV Heavy,ULA,350,28370,"SLC-6, Vandenberg SFB, California, USA",2013,2013-08,123369.7568,1.163176037,143500.7448,407.1116129,1
135,Success,Orbital,Delta IV Heavy,ULA,350,28370,"SLC-37B, Cape Canaveral SFS, Florida, USA",2014,2014-12,123369.7568,1.14460834,141210.0525,400.612919,1
136,Success,Orbital,Delta IV Heavy,ULA,350,28370,"SLC-37B, Cape Canaveral SFS, Florida, USA",2016,2016-06,123369.7568,1.129008737,139285.5333,395.153058,1
137,Success,Orbital,Delta IV Heavy,ULA,350,28370,"SLC-37B, Cape Canaveral SFS, Florida, USA",2018,2018-08,123369.7568,1.079101738,133128.5189,377.6856081,1
138,Success,Orbital,Delta IV Heavy,ULA,350,28370,"SLC-6, Vandenberg SFB, California, USA",2019,2019-01,123369.7568,1.059896658,130759.193,370.9638304,1
139,Success,Orbital,Delta IV Heavy,ULA,350,28370,"SLC-37B, Cape Canaveral SFS, Florida, USA",2020,2020-12,123369.7568,1.046980229,129165.6962,366.4430801,1
140,Success,Orbital,Delta IV Heavy,ULA,350,28370,"SLC-6, Vandenberg SFB, California, USA",2021,2021-04,123369.7568,1,123369.7568,350,1
144,Success,Orbital,"Delta IV Medium+ (5,2)",ULA,,9610,"SLC-6, Vandenberg SFB, California, USA",2018,2018-01,,1.079101738,,,1
145,Success,Orbital,"Delta IV Medium+ (5,4)",ULA,,11600,"SLC-37B, Cape Canaveral SFS, Florida, USA",2017,2017-03,,1.105458551,,,1
147,Success,Orbital,"Delta IV Medium+ (4,2)",ULA,164,10440,"SLC-37B, Cape Canaveral SFS, Florida, USA",2016,2016-08,157088.1226,1.129008737,177353.8629,185.1574329,1
146,Success,Orbital,"Delta IV Medium+ (5,4)",ULA,,11600,"SLC-37B, Cape Canaveral SFS, Florida, USA",2016,2016-12,,1.129008737,,,1
148,Success,Orbital,"Delta IV Medium+ (5,2)",ULA,,9610,"SLC-6, Vandenberg SFB, California, USA",2016,2016-02,,1.129008737,,,1
149,Success,Orbital,"Delta IV Medium+ (5,4)",ULA,,11600,"SLC-37B, Cape Canaveral SFS, Florida, USA",2015,2015-07,,1.143251328,,,1
150,Success,Orbital,"Delta IV Medium+ (4,2)",ULA,164,10440,"SLC-37B, Cape Canaveral SFS, Florida, USA",2015,2015-03,157088.1226,1.143251328,179591.2048,187.4932178,1
151,Success,Orbital,"Delta IV Medium+ (4,2)",ULA,164,10440,"SLC-37B, Cape Canaveral SFS, Florida, USA",2014,2014-07,157088.1226,1.14460834,179804.3753,187.7157678,1
152,Success,Orbital,"Delta IV Medium+ (4,2)",ULA,164,10440,"SLC-37B, Cape Canaveral SFS, Florida, USA",2014,2014-05,157088.1226,1.14460834,179804.3753,187.7157678,1
153,Success,Orbital,"Delta IV Medium+ (4,2)",ULA,164,10440,"SLC-37B, Cape Canaveral SFS, Florida, USA",2014,2014-02,157088.1226,1.14460834,179804.3753,187.7157678,1
154,Success,Orbital,"Delta IV Medium+ (5,4)",ULA,,11600,"SLC-37B, Cape Canaveral SFS, Florida, USA",2013,2013-08,,1.163176037,,,1
155,Success,Orbital,"Delta IV Medium+ (5,4)",ULA,,11600,"SLC-37B, Cape Canaveral SFS, Florida, USA",2013,2013-05,,1.163176037,,,1
156,Success,Orbital,"Delta IV Medium+ (4,2)",ULA,164,10440,"SLC-37B, Cape Canaveral SFS, Florida, USA",2012,2012-10,157088.1226,1.180213769,185397.5652,193.5550581,1
157,Success,Orbital,"Delta IV Medium+ (5,2)",ULA,,9610,"SLC-6, Vandenberg SFB, California, USA",2012,2012-04,,1.180213769,,,1
158,Success,Orbital,"Delta IV Medium+ (5,4)",ULA,,11600,"SLC-37B, Cape Canaveral SFS, Florida, USA",2012,2012-01,,1.180213769,,,1
159,Success,Orbital,"Delta IV Medium+ (4,2)",ULA,164,10440,"SLC-37B, Cape Canaveral SFS, Florida, USA",2011,2011-07,157088.1226,1.204637702,189234.275,197.5605831,1
161,Success,Orbital,"Delta IV Medium+ (4,2)",ULA,164,10440,"SLC-37B, Cape Canaveral SFS, Florida, USA",2011,2011-03,157088.1226,1.204637702,189234.275,197.5605831,1
162,Success,Orbital,"Delta IV Medium+ (4,2)",ULA,164,10440,"SLC-37B, Cape Canaveral SFS, Florida, USA",2010,2010-05,157088.1226,1.242662435,195207.509,203.7966394,1
163,Success,Orbital,"Delta IV Medium+ (4,2)",ULA,164,10440,"SLC-37B, Cape Canaveral SFS, Florida, USA",2010,2010-03,157088.1226,1.242662435,195207.509,203.7966394,1
164,Success,Orbital,Ariane 5 ES,Arianespace,,21000,"ELA-3, Guiana Space Centre, French Guiana, France",2017,2017-12,,1.105458551,,,1
165,Success,Orbital,Ariane 5 ECA,Arianespace,200,21000,"ELA-3, Guiana Space Centre, French Guiana, France",2018,2018-09,95238.09524,1.079101738,102771.594,215.8203475,1
166,Success,Orbital,Long March 2C/SMA,CASC,30.8,2850,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018,2018-07,108070.1754,1.079101738,116618.7141,33.23633352,1
167,Success,Orbital,Soyuz 2.1a,Roscosmos,17.42,7500,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2018,2018-07,23226.66667,1.079101738,25063.93636,18.79795227,1
169,Success,Orbital,Ariane 5 ES,Arianespace,,21000,"ELA-3, Guiana Space Centre, French Guiana, France",2018,2018-07,,1.079101738,,,1
170,Success,Orbital,Atlas V N22,ULA,,13000,"SLC-41, Cape Canaveral SFS, Florida, USA",2019,2019-12,,1.059896658,,,1
175,Success,Orbital,Saturn I Block II,NASA,,9070,"LC-34, Cape Canaveral SFS, Florida, USA",1964,1964-01,,8.740967742,,,1
176,Success,Orbital,Saturn I Block II,NASA,,9070,"SLC-37B, Cape Canaveral SFS, Florida, USA",1964,1964-05,,8.740967742,,,1
177,Success,Orbital,Saturn I Block II,NASA,,9070,"SLC-37B, Cape Canaveral SFS, Florida, USA",1964,1964-09,,8.740967742,,,1
178,Success,Orbital,Saturn I Block II,NASA,,9070,"SLC-37B, Cape Canaveral SFS, Florida, USA",1965,1965-02,,8.602222222,,,1
179,Success,Orbital,Saturn I Block II,NASA,,9070,"SLC-37B, Cape Canaveral SFS, Florida, USA",1965,1965-05,,8.602222222,,,1
180,Success,Orbital,Saturn I Block II,NASA,,9070,"SLC-37B, Cape Canaveral SFS, Florida, USA",1965,1965-07,,8.602222222,,,1
181,Success,Orbital,Saturn IB,NASA,,21000,"SLC-37B, Cape Canaveral SFS, Florida, USA",1966,1966-07,,8.363271605,,,1
186,Success,Orbital,Saturn V,NASA,1160,140000,"LC-39A, Kennedy Space Center, Florida, USA",1967,1967-11,82857.14286,8.112874251,672209.5808,9410.934132,1
